UTC,Longitude (deg),Latitude (deg),Elevation (m),TB X (K),TB K (K),TB Ka (K),Antenna Longitude (deg),Antenna Latitude (deg),Antenna Altitude (m),Antenna Yaw (deg),Antenna Pitch (deg),Antenna Look Angle (deg)
20200210-22:53:11.820060,-108.167091,39.018658,3096,242.4,174,98.2,-108.054634,39.024764,4912.4,0.75,1.57,44.7
20200210-22:53:11.920080,-108.167184,39.018658,3096,240.1,174.9,98.1,-108.054637,39.024764,4912.4,0.74,1.57,44.7
20200210-22:53:12.020060,-108.167184,39.018751,3096,240.9,174.3,98.1,-108.054641,39.024764,4912.4,0.74,1.57,44.7
20200210-22:53:12.120060,-108.167276,39.018751,3096,240.2,174.4,98.2,-108.054645,39.024764,4912.4,0.74,1.57,44.7
20200210-22:53:12.220080,-108.167369,39.018751,3096,241,173.5,98.2,-108.054649,39.024764,4912.4,0.73,1.57,44.7
20200210-22:53:12.320080,-108.167461,39.018751,3095,240,173.3,98.4,-108.054652,39.024765,4912.4,0.72,1.57,44.7
20200210-22:53:12.420080,-108.167554,39.018751,3095,239.1,173.5,98.2,-108.054656,39.024765,4912.4,0.71,1.57,44.7
20200210-22:53:12.520080,-108.167647,39.018751,3095,239.8,174.1,98.1,-108.05466,39.024765,4912.4,0.7,1.57,44.7
20200210-22:53:12.620080,-108.167739,39.018751,3095,240.8,173.9,97.7,-108.054664,39.024765,4912.4,0.69,1.56,44.7
20200210-22:53:12.720080,-108.167739,39.018751,3095,239.6,173.8,97.7,-108.054668,39.024766,4912.4,0.7,1.57,44.7
20200210-22:53:12.820080,-108.167832,39.018751,3095,242.1,174,97.2,-108.054671,39.024766,4912.4,0.71,1.57,44.7
20200210-22:53:12.920080,-108.167924,39.018751,3094,240,172.9,97,-108.054675,39.024766,4912.4,0.72,1.57,44.6
20200210-22:53:13.020100,-108.168017,39.018751,3094,240.9,173.5,96.4,-108.054679,39.024766,4912.4,0.73,1.56,44.6
20200210-22:53:13.120100,-108.16811,39.018751,3094,239.8,173.6,96.2,-108.054683,39.024766,4912.4,0.72,1.56,44.6
20200210-22:53:13.220100,-108.168202,39.018751,3094,239.1,173.3,95.9,-108.054686,39.024767,4912.4,0.72,1.56,44.6
20200210-22:53:13.320100,-108.168295,39.018751,3094,240.1,173.6,95.8,-108.05469,39.024767,4912.4,0.71,1.56,44.6
20200210-22:53:13.420100,-108.168387,39.018751,3093,240,173.6,95.2,-108.054694,39.024767,4912.4,0.7,1.56,44.6
20200210-22:53:13.520100,-108.168387,39.018751,3093,242.4,172.5,94.3,-108.054698,39.024767,4912.4,0.72,1.56,44.6
20200210-22:53:13.620100,-108.16848,39.018751,3093,241.2,173.2,94.3,-108.054701,39.024767,4912.4,0.72,1.56,44.6
20200210-22:53:13.720120,-108.168573,39.018751,3092,241.7,173.1,93.8,-108.054705,39.024768,4912.3,0.71,1.56,44.6
20200210-22:53:13.820120,-108.168665,39.018751,3092,239,172.8,92.5,-108.054709,39.024768,4912.3,0.71,1.56,44.6
20200210-22:53:14.020120,-108.16885,39.018751,3091,239.4,173.3,92.2,-108.054716,39.024768,4912.3,0.68,1.56,44.6
20200210-22:53:14.120120,-108.168943,39.018751,3091,240.4,173.2,91.3,-108.05472,39.024768,4912.3,0.68,1.56,44.6
20200210-22:53:14.220120,-108.168943,39.018843,3091,239.3,173.6,91,-108.054724,39.024769,4912.3,0.68,1.56,44.6
20200210-22:53:14.320120,-108.169036,39.018843,3091,238.7,171.9,90.8,-108.054728,39.024769,4912.3,0.69,1.56,44.6
20200210-22:53:14.420120,-108.169128,39.018843,3090,238.9,173.8,90.7,-108.054731,39.024769,4912.3,0.71,1.56,44.6
20200210-22:53:14.520120,-108.169221,39.018843,3090,240.5,172.9,91,-108.054735,39.024769,4912.3,0.71,1.56,44.6
20200210-22:53:14.620120,-108.169313,39.018843,3089,239.3,173.5,90.9,-108.054739,39.024769,4912.3,0.71,1.56,44.6
20200210-22:53:14.720140,-108.169406,39.018843,3088,239.3,174.9,91.5,-108.054743,39.02477,4912.3,0.7,1.56,44.6
20200210-22:53:14.820140,-108.169499,39.018843,3088,238,173.4,91.8,-108.054746,39.02477,4912.3,0.69,1.56,44.6
20200210-22:53:14.920140,-108.169591,39.018843,3087,240.4,172.8,92.4,-108.05475,39.02477,4912.3,0.69,1.56,44.6
20200210-22:53:15.020140,-108.169684,39.018843,3087,239.4,173.7,92.8,-108.054754,39.02477,4912.3,0.7,1.56,44.6
20200210-22:53:15.120140,-108.169684,39.018843,3087,238.6,172.9,93.7,-108.054758,39.024771,4912.3,0.7,1.56,44.7
20200210-22:53:15.220140,-108.169776,39.018843,3086,241.1,172.6,94.2,-108.054761,39.024771,4912.3,0.7,1.56,44.7
20200210-22:53:15.320140,-108.169869,39.018843,3086,239.7,172.8,94.9,-108.054765,39.024771,4912.3,0.7,1.56,44.7
20200210-22:53:15.420160,-108.169962,39.018843,3085,239.7,173.7,95.6,-108.054769,39.024771,4912.3,0.68,1.56,44.7
20200210-22:53:15.520160,-108.170054,39.018843,3085,239.2,174.6,97.3,-108.054773,39.024771,4912.3,0.67,1.55,44.7
20200210-22:53:15.620160,-108.170147,39.018843,3084,240.1,174.4,97.7,-108.054776,39.024772,4912.3,0.66,1.56,44.7
20200210-22:53:15.720160,-108.170239,39.018843,3084,240,174.1,98,-108.05478,39.024772,4912.3,0.68,1.56,44.7
20200210-22:53:15.820160,-108.170332,39.018843,3084,240.3,174.1,98.8,-108.054784,39.024772,4912.3,0.68,1.55,44.7
20200210-22:53:15.920160,-108.170332,39.018843,3084,240.4,174.8,98.8,-108.054788,39.024772,4912.3,0.69,1.55,44.7
20200210-22:53:16.020160,-108.170425,39.018843,3083,239.6,174,99.5,-108.054791,39.024772,4912.3,0.69,1.55,44.7
20200210-22:53:16.120160,-108.170517,39.018843,3082,240.6,175.2,99.5,-108.054795,39.024773,4912.3,0.67,1.55,44.7
20200210-22:53:16.220160,-108.17061,39.018843,3082,239.8,174,99.9,-108.054799,39.024773,4912.3,0.68,1.55,44.7
20200210-22:53:16.320160,-108.170702,39.018843,3082,239.4,174.6,99.9,-108.054803,39.024773,4912.3,0.67,1.55,44.7
20200210-22:53:16.420160,-108.170795,39.018843,3082,240.4,175.1,100,-108.054806,39.024773,4912.3,0.68,1.55,44.7
20200210-22:53:16.520180,-108.170888,39.018843,3081,239.6,175.3,100.2,-108.05481,39.024773,4912.3,0.69,1.55,44.7
20200210-22:53:16.620180,-108.17098,39.018843,3081,239.7,174.8,100.4,-108.054814,39.024774,4912.2,0.69,1.55,44.7
20200210-22:53:16.720180,-108.17098,39.018843,3081,240,175.2,100.2,-108.054818,39.024774,4912.2,0.69,1.55,44.7
20200210-22:53:16.820180,-108.171073,39.018843,3081,240.4,174.7,100.1,-108.054821,39.024774,4912.2,0.67,1.55,44.7
20200210-22:53:16.920180,-108.171165,39.018843,3080,239.5,174.8,100.1,-108.054825,39.024774,4912.2,0.67,1.55,44.7
20200210-22:53:17.020180,-108.171258,39.018843,3080,239.5,174.6,100.1,-108.054829,39.024774,4912.2,0.65,1.55,44.7
20200210-22:53:17.120180,-108.171351,39.018843,3079,238.4,174.8,99.9,-108.054833,39.024775,4912.2,0.66,1.55,44.7
20200210-22:53:17.220200,-108.171443,39.018843,3079,240,173.9,100,-108.054836,39.024775,4912.2,0.66,1.55,44.7
20200210-22:53:17.320200,-108.171536,39.018936,3078,239.7,175.5,99.9,-108.05484,39.024775,4912.2,0.66,1.55,44.7
20200210-22:53:17.420200,-108.171536,39.018936,3078,240.4,175.6,99.9,-108.054844,39.024775,4912.2,0.67,1.55,44.7
20200210-22:53:17.520200,-108.171628,39.018936,3078,238.6,173.8,99.7,-108.054848,39.024776,4912.2,0.67,1.55,44.7
20200210-22:53:17.620200,-108.171721,39.018936,3077,238.6,175,99.8,-108.054851,39.024776,4912.2,0.67,1.55,44.7
20200210-22:53:17.720200,-108.171814,39.018936,3077,239.4,174.8,99.4,-108.054855,39.024776,4912.2,0.66,1.55,44.7
20200210-22:53:17.820200,-108.171906,39.018936,3076,241,174.3,99.2,-108.054859,39.024776,4912.2,0.66,1.55,44.7
20200210-22:53:17.920200,-108.171999,39.018936,3076,240.8,174.2,99,-108.054863,39.024776,4912.2,0.66,1.55,44.7
20200210-22:53:18.020200,-108.172091,39.018936,3075,239.8,173.6,98.7,-108.054866,39.024777,4912.2,0.67,1.55,44.7
20200210-22:53:18.120200,-108.172184,39.018936,3075,239,173.9,98.6,-108.05487,39.024777,4912.2,0.68,1.55,44.7
20200210-22:53:18.220220,-108.172184,39.018936,3075,239,173.9,98,-108.054874,39.024777,4912.2,0.68,1.55,44.7
20200210-22:53:18.320220,-108.172276,39.018936,3074,239.6,173,97.9,-108.054878,39.024777,4912.2,0.67,1.54,44.7
20200210-22:53:18.420220,-108.172369,39.018936,3074,239.4,172.3,97.7,-108.054882,39.024777,4912.2,0.66,1.54,44.7
20200210-22:53:18.520220,-108.172462,39.018936,3073,238.5,172.6,97.8,-108.054885,39.024778,4912.2,0.65,1.55,44.7
20200210-22:53:18.620220,-108.172554,39.018936,3073,237.7,173.3,97.4,-108.054889,39.024778,4912.2,0.66,1.55,44.7
20200210-22:53:18.720220,-108.172647,39.018936,3073,239,173.5,97.1,-108.054893,39.024778,4912.2,0.66,1.54,44.7
20200210-22:53:18.820220,-108.172739,39.018936,3073,238.8,172.5,96.7,-108.054897,39.024778,4912.2,0.67,1.54,44.7
20200210-22:53:18.920240,-108.172739,39.018936,3073,236.7,172.3,96.6,-108.0549,39.024778,4912.2,0.68,1.54,44.7
20200210-22:53:19.020240,-108.172832,39.018936,3073,237.8,171.5,96.1,-108.054904,39.024779,4912.2,0.67,1.54,44.7
20200210-22:53:19.120240,-108.172925,39.018936,3073,238.3,171.9,95.9,-108.054908,39.024779,4912.2,0.66,1.54,44.7
20200210-22:53:19.220240,-108.173017,39.018936,3073,237.9,171.5,95.5,-108.054912,39.024779,4912.2,0.65,1.54,44.7
20200210-22:53:19.320240,-108.17311,39.018936,3072,238.9,170.3,95.3,-108.054915,39.024779,4912.1,0.65,1.54,44.7
20200210-22:53:19.420240,-108.173202,39.018936,3072,239.2,171.4,94.6,-108.054919,39.024779,4912.1,0.67,1.54,44.7
20200210-22:53:19.520240,-108.173295,39.018936,3072,238.3,170.6,94.6,-108.054923,39.02478,4912.1,0.67,1.54,44.7
20200210-22:53:19.620240,-108.173295,39.019029,3073,238.5,170.8,94,-108.054927,39.02478,4912.1,0.69,1.54,44.7
20200210-22:53:19.720240,-108.173388,39.019029,3073,239.1,171.1,93.4,-108.05493,39.02478,4912.1,0.69,1.54,44.7
20200210-22:53:19.820240,-108.17348,39.019029,3073,237.5,170.9,92.8,-108.054934,39.02478,4912.1,0.69,1.54,44.7
20200210-22:53:19.920240,-108.173573,39.019029,3073,235.8,169.2,91.4,-108.054938,39.024781,4912.1,0.67,1.54,44.7
20200210-22:53:20.020260,-108.173665,39.019029,3072,239.3,168.6,90.8,-108.054942,39.024781,4912.1,0.67,1.54,44.7
20200210-22:53:20.120260,-108.173758,39.019029,3072,237.8,167.8,90.1,-108.054945,39.024781,4912.1,0.68,1.54,44.8
20200210-22:53:20.220260,-108.173851,39.019029,3071,236.4,168.7,89.6,-108.054949,39.024781,4912.1,0.68,1.54,44.8
20200210-22:53:20.320260,-108.173943,39.019029,3072,238.8,168.3,89.2,-108.054953,39.024781,4912.1,0.69,1.54,44.8
20200210-22:53:20.420260,-108.173943,39.019029,3072,238.7,167.2,89,-108.054957,39.024782,4912.1,0.68,1.54,44.8
20200210-22:53:20.520260,-108.174036,39.019029,3071,238.9,167.4,88.4,-108.05496,39.024782,4912.1,0.68,1.54,44.8
20200210-22:53:20.620260,-108.174128,39.019029,3071,236.4,167.4,88,-108.054964,39.024782,4912.1,0.67,1.54,44.8
20200210-22:53:20.720280,-108.174221,39.019029,3071,236,167.3,87.8,-108.054968,39.024782,4912.1,0.67,1.54,44.8
20200210-22:53:20.820280,-108.174314,39.019029,3071,238.1,167.2,87.2,-108.054972,39.024782,4912.1,0.68,1.55,44.8
20200210-22:53:20.920280,-108.174406,39.019029,3071,235.4,167,87,-108.054975,39.024783,4912.1,0.68,1.54,44.8
20200210-22:53:21.020280,-108.174406,39.019121,3072,236.1,166.5,86.6,-108.054979,39.024783,4912.1,0.7,1.55,44.8
20200210-22:53:21.120280,-108.174499,39.019121,3072,237.3,166.3,86,-108.054983,39.024783,4912.1,0.7,1.55,44.8
20200210-22:53:21.220280,-108.174591,39.019121,3072,234.7,166.6,85.7,-108.054987,39.024783,4912.1,0.69,1.55,44.8
20200210-22:53:21.320280,-108.174684,39.019121,3072,235.7,165.9,85.5,-108.05499,39.024783,4912.1,0.69,1.54,44.8
20200210-22:53:21.420300,-108.174777,39.019121,3072,235.2,167.3,85.3,-108.054994,39.024784,4912.1,0.67,1.55,44.8
20200210-22:53:21.520280,-108.174777,39.019121,3072,235.2,166.2,85.1,-108.054998,39.024784,4912.1,0.68,1.55,44.8
20200210-22:53:21.620280,-108.174869,39.019121,3072,233.3,165.9,84.9,-108.055002,39.024784,4912.1,0.69,1.55,44.8
20200210-22:53:21.720300,-108.174962,39.019121,3072,236.1,167,84.8,-108.055005,39.024784,4912.1,0.7,1.55,44.8
20200210-22:53:21.820300,-108.175054,39.019121,3071,234.7,165.3,84.8,-108.055009,39.024784,4912.1,0.7,1.55,44.8
20200210-22:53:21.920300,-108.175147,39.019121,3070,236,166.3,84.4,-108.055013,39.024785,4912.1,0.69,1.55,44.8
20200210-22:53:22.020300,-108.17524,39.019121,3070,234.2,166.2,84.8,-108.055017,39.024785,4912,0.68,1.55,44.8
20200210-22:53:22.120300,-108.175332,39.019121,3070,235.7,166,84.7,-108.05502,39.024785,4912,0.68,1.55,44.8
20200210-22:53:22.220300,-108.175425,39.019121,3069,237.4,166.5,84.6,-108.055024,39.024785,4912,0.69,1.55,44.8
20200210-22:53:22.320300,-108.175425,39.019121,3069,236.9,165.7,84.4,-108.055028,39.024786,4912,0.7,1.55,44.8
20200210-22:53:22.420320,-108.175517,39.019121,3069,234.9,167,84.6,-108.055032,39.024786,4912,0.7,1.55,44.8
20200210-22:53:22.520320,-108.17561,39.019121,3068,235.4,165.9,84.7,-108.055035,39.024786,4912,0.71,1.55,44.8
20200210-22:53:22.620320,-108.175703,39.019121,3068,234,166,84.8,-108.055039,39.024786,4912,0.7,1.55,44.8
20200210-22:53:22.720320,-108.175795,39.019121,3068,236.1,165.9,84.9,-108.055043,39.024786,4912,0.69,1.55,44.8
20200210-22:53:22.820320,-108.175888,39.019121,3068,233.4,165.2,84.9,-108.055047,39.024787,4912,0.68,1.55,44.8
20200210-22:53:22.920320,-108.17598,39.019121,3067,233.2,166.6,85,-108.05505,39.024787,4912,0.69,1.55,44.8
20200210-22:53:23.020320,-108.17598,39.019121,3067,232.2,165.7,85,-108.055054,39.024787,4912,0.7,1.56,44.8
20200210-22:53:23.120340,-108.176073,39.019121,3066,235.1,166.1,84.9,-108.055058,39.024787,4912,0.71,1.55,44.7
20200210-22:53:23.220340,-108.176166,39.019121,3066,231.8,167,84.9,-108.055062,39.024787,4912,0.71,1.55,44.7
20200210-22:53:23.320340,-108.176258,39.019121,3065,232.8,165.9,84.8,-108.055065,39.024788,4912,0.69,1.55,44.7
20200210-22:53:23.420320,-108.176351,39.019121,3065,235.9,166.4,85.1,-108.055069,39.024788,4912,0.68,1.56,44.7
20200210-22:53:23.520340,-108.176443,39.019121,3064,232.8,165.6,85.2,-108.055073,39.024788,4912,0.68,1.56,44.7
20200210-22:53:23.620340,-108.176536,39.019121,3064,234.2,166.4,85,-108.055077,39.024788,4912,0.68,1.56,44.7
20200210-22:53:23.720340,-108.176536,39.019214,3064,234,166.5,85.2,-108.05508,39.024788,4912,0.7,1.56,44.8
20200210-22:53:23.820340,-108.176629,39.019214,3064,233.7,165.9,85.1,-108.055084,39.024789,4912,0.71,1.56,44.8
20200210-22:53:23.920340,-108.176721,39.019214,3064,234.7,166.4,85.1,-108.055088,39.024789,4912,0.72,1.56,44.8
20200210-22:53:24.020340,-108.176814,39.019214,3064,236.2,166,85,-108.055092,39.024789,4912,0.72,1.56,44.8
20200210-22:53:24.120340,-108.176906,39.019214,3063,234.7,167.6,85.1,-108.055096,39.024789,4912,0.68,1.56,44.8
20200210-22:53:24.220360,-108.176999,39.019214,3063,235.7,165.8,85.4,-108.055099,39.024789,4912,0.69,1.56,44.8
20200210-22:53:24.320360,-108.177092,39.019214,3063,234.5,166.7,85.2,-108.055103,39.02479,4912,0.67,1.56,44.8
20200210-22:53:24.420360,-108.177092,39.019214,3063,235.6,165.6,85.2,-108.055107,39.02479,4912,0.7,1.56,44.8
20200210-22:53:24.520360,-108.177184,39.019214,3063,234.5,166.2,85.4,-108.055111,39.02479,4912,0.7,1.56,44.8
20200210-22:53:24.620360,-108.177277,39.019214,3063,235.2,166.1,85.4,-108.055114,39.02479,4912,0.7,1.56,44.8
20200210-22:53:24.720360,-108.177369,39.019214,3062,236.2,166.8,85.5,-108.055118,39.024791,4911.9,0.7,1.56,44.8
20200210-22:53:24.820360,-108.177462,39.019214,3062,237.2,165.9,85.3,-108.055122,39.024791,4911.9,0.67,1.56,44.7
20200210-22:53:24.920380,-108.177555,39.019214,3062,238.3,166.2,85.5,-108.055126,39.024791,4911.9,0.68,1.56,44.7
20200210-22:53:25.020380,-108.177647,39.019214,3062,237.8,165.8,85.4,-108.055129,39.024791,4911.9,0.68,1.56,44.7
20200210-22:53:25.120380,-108.177647,39.019214,3062,238.2,166.3,85.4,-108.055133,39.024791,4911.9,0.69,1.56,44.7
20200210-22:53:25.220380,-108.17774,39.019214,3061,236.2,166.3,85.4,-108.055137,39.024792,4911.9,0.7,1.56,44.7
20200210-22:53:25.320380,-108.177832,39.019214,3061,236.5,165.1,85.4,-108.055141,39.024792,4911.9,0.7,1.56,44.7
20200210-22:53:25.420380,-108.177925,39.019214,3061,237.4,166.3,85.4,-108.055144,39.024792,4911.9,0.7,1.56,44.7
20200210-22:53:25.520380,-108.178018,39.019214,3061,237.5,166,85.6,-108.055148,39.024792,4911.9,0.69,1.56,44.7
20200210-22:53:25.620380,-108.17811,39.019214,3061,237.4,166.2,85.4,-108.055152,39.024792,4911.9,0.69,1.56,44.7
20200210-22:53:25.720380,-108.178203,39.019214,3060,236.4,166.9,85.2,-108.055156,39.024793,4911.9,0.69,1.56,44.7
20200210-22:53:25.820380,-108.178203,39.019306,3060,237.2,166.3,85.5,-108.055159,39.024793,4911.9,0.69,1.56,44.7
20200210-22:53:25.920400,-108.178295,39.019306,3060,237.5,167.6,85.4,-108.055163,39.024793,4911.9,0.7,1.56,44.7
20200210-22:53:26.020400,-108.178388,39.019306,3060,237.1,166.7,85.3,-108.055167,39.024793,4911.9,0.7,1.56,44.7
20200210-22:53:26.120400,-108.17848,39.019306,3060,236.6,166.8,85.4,-108.055171,39.024793,4911.9,0.7,1.56,44.7
20200210-22:53:26.220400,-108.178573,39.019306,3060,236.6,166.5,85.2,-108.055174,39.024794,4911.9,0.69,1.56,44.7
20200210-22:53:26.320400,-108.178666,39.019306,3059,237.5,166.4,85.2,-108.055178,39.024794,4911.9,0.68,1.56,44.7
20200210-22:53:26.420400,-108.178758,39.019306,3059,237.7,166.6,85.1,-108.055182,39.024794,4911.9,0.68,1.56,44.7
20200210-22:53:26.520400,-108.178851,39.019306,3059,237.1,167.1,84.9,-108.055186,39.024794,4911.9,0.68,1.56,44.7
20200210-22:53:26.620420,-108.178851,39.019306,3059,235.2,166.1,85.2,-108.055189,39.024794,4911.9,0.68,1.56,44.7
20200210-22:53:26.720420,-108.178943,39.019306,3059,236.9,166.7,84.9,-108.055193,39.024795,4911.9,0.68,1.56,44.7
20200210-22:53:26.820420,-108.179036,39.019306,3059,236.6,167.4,85.1,-108.055197,39.024795,4911.9,0.69,1.57,44.7
20200210-22:53:26.920420,-108.179129,39.019306,3059,237.7,167.4,85,-108.055201,39.024795,4911.9,0.69,1.56,44.7
20200210-22:53:27.020420,-108.179221,39.019306,3058,236,166.8,85,-108.055204,39.024795,4911.9,0.68,1.56,44.7
20200210-22:53:27.120420,-108.179314,39.019306,3058,236.7,166.9,84.8,-108.055208,39.024796,4911.9,0.69,1.57,44.7
20200210-22:53:27.220420,-108.179406,39.019306,3057,234.2,167,85,-108.055212,39.024796,4911.9,0.69,1.57,44.7
20200210-22:53:27.320420,-108.179406,39.019306,3057,234.4,167,84.7,-108.055216,39.024796,4911.9,0.69,1.57,44.7
20200210-22:53:27.420420,-108.179499,39.019306,3057,235.8,166.6,84.8,-108.055219,39.024796,4911.8,0.69,1.56,44.7
20200210-22:53:27.520420,-108.179592,39.019306,3056,235.3,167.5,84.6,-108.055223,39.024796,4911.8,0.69,1.56,44.7
20200210-22:53:27.620440,-108.179684,39.019306,3056,236.7,167.5,84.7,-108.055227,39.024797,4911.8,0.69,1.57,44.7
20200210-22:53:27.720440,-108.179777,39.019306,3056,235.1,167.3,84.7,-108.055231,39.024797,4911.8,0.68,1.57,44.7
20200210-22:53:27.820440,-108.179869,39.019306,3056,236,166.5,84.7,-108.055234,39.024797,4911.8,0.68,1.57,44.7
20200210-22:53:27.920440,-108.179962,39.019399,3056,235.4,168,84.2,-108.055238,39.024797,4911.8,0.68,1.56,44.7
20200210-22:53:28.020440,-108.179962,39.019399,3056,236.1,167.7,84.2,-108.055242,39.024797,4911.8,0.67,1.57,44.7
20200210-22:53:28.120440,-108.180055,39.019399,3056,235.8,166.4,84.2,-108.055246,39.024798,4911.8,0.69,1.57,44.7
20200210-22:53:28.220440,-108.180147,39.019399,3057,236.5,168.6,84.3,-108.055249,39.024798,4911.8,0.69,1.57,44.7
20200210-22:53:28.320460,-108.18024,39.019399,3057,236.1,166.4,84,-108.055253,39.024798,4911.8,0.7,1.57,44.7
20200210-22:53:28.420460,-108.180332,39.019399,3057,235.3,167.5,84,-108.055257,39.024798,4911.8,0.68,1.56,44.7
20200210-22:53:28.520460,-108.180425,39.019399,3057,234.4,166.9,83.9,-108.055261,39.024798,4911.8,0.68,1.57,44.7
20200210-22:53:28.620460,-108.180518,39.019399,3057,236.1,166,84.1,-108.055264,39.024799,4911.8,0.68,1.57,44.7
20200210-22:53:28.720460,-108.180518,39.019399,3057,237.2,167.3,84,-108.055268,39.024799,4911.8,0.68,1.57,44.7
20200210-22:53:28.820460,-108.18061,39.019399,3057,237.5,167,84,-108.055272,39.024799,4911.8,0.69,1.57,44.7
20200210-22:53:28.920460,-108.180703,39.019399,3057,236.5,167.7,84.1,-108.055276,39.024799,4911.8,0.68,1.56,44.7
20200210-22:53:29.020480,-108.180795,39.019492,3057,237.5,167.1,84.1,-108.055279,39.0248,4911.8,0.69,1.57,44.7
20200210-22:53:29.120460,-108.180888,39.019492,3057,236.7,168.1,83.9,-108.055283,39.0248,4911.8,0.68,1.57,44.7
20200210-22:53:29.220460,-108.180981,39.019492,3057,235.5,166.5,83.8,-108.055287,39.0248,4911.8,0.68,1.57,44.7
20200210-22:53:29.320460,-108.181073,39.019492,3057,237.1,166.7,83.9,-108.055291,39.0248,4911.8,0.66,1.56,44.7
20200210-22:53:29.420480,-108.181073,39.019492,3057,235,167,84,-108.055294,39.0248,4911.8,0.65,1.57,44.7
20200210-22:53:29.520480,-108.181166,39.019492,3057,236.1,167,83.9,-108.055298,39.024801,4911.8,0.67,1.57,44.7
20200210-22:53:29.620480,-108.181258,39.019492,3057,236.7,166.5,84.1,-108.055302,39.024801,4911.8,0.68,1.57,44.7
20200210-22:53:29.720480,-108.181351,39.019492,3057,237,166.7,83.8,-108.055306,39.024801,4911.8,0.69,1.57,44.7
20200210-22:53:29.820480,-108.181444,39.019492,3057,237.1,166.1,84,-108.055309,39.024801,4911.8,0.69,1.56,44.7
20200210-22:53:29.920480,-108.181536,39.019492,3056,238.1,166,84.2,-108.055313,39.024801,4911.8,0.67,1.57,44.7
20200210-22:53:30.020480,-108.181629,39.019492,3056,235.5,166.8,84.3,-108.055317,39.024802,4911.8,0.67,1.57,44.7
20200210-22:53:30.120500,-108.181629,39.019492,3056,234.7,167.4,84.4,-108.055321,39.024802,4911.8,0.66,1.57,44.7
20200210-22:53:30.220500,-108.181721,39.019492,3056,236.9,166.6,84.6,-108.055325,39.024802,4911.7,0.68,1.57,44.7
20200210-22:53:30.320500,-108.181814,39.019492,3055,236.9,166.8,84.8,-108.055328,39.024802,4911.7,0.68,1.57,44.7
20200210-22:53:30.420500,-108.181907,39.019492,3055,236,167.1,84.5,-108.055332,39.024802,4911.7,0.69,1.57,44.7
20200210-22:53:30.520500,-108.181999,39.019492,3055,236.3,167.2,84.7,-108.055336,39.024803,4911.7,0.69,1.57,44.7
20200210-22:53:30.620500,-108.182092,39.019492,3055,239,166.3,84.6,-108.05534,39.024803,4911.7,0.67,1.57,44.7
20200210-22:53:30.720500,-108.182184,39.019492,3055,237.7,167.3,84.7,-108.055343,39.024803,4911.7,0.66,1.56,44.7
20200210-22:53:30.820520,-108.182184,39.019584,3054,238,166.7,84.9,-108.055347,39.024803,4911.7,0.66,1.57,44.7
20200210-22:53:30.920520,-108.182277,39.019584,3055,235.5,167,85,-108.055351,39.024803,4911.7,0.66,1.57,44.7
20200210-22:53:31.020500,-108.18237,39.019584,3054,237,167.7,85.1,-108.055355,39.024804,4911.7,0.68,1.57,44.7
20200210-22:53:31.120520,-108.182462,39.019584,3054,236.5,166.9,85.3,-108.055358,39.024804,4911.7,0.68,1.57,44.7
20200210-22:53:31.220520,-108.182555,39.019584,3054,237.5,167.6,85.7,-108.055362,39.024804,4911.7,0.68,1.57,44.7
20200210-22:53:31.320520,-108.182647,39.019584,3054,237.7,168.2,86,-108.055366,39.024804,4911.7,0.67,1.56,44.7
20200210-22:53:31.420520,-108.182647,39.019584,3054,237.3,167.8,86.3,-108.05537,39.024805,4911.7,0.66,1.57,44.7
20200210-22:53:31.520520,-108.18274,39.019584,3053,237.2,167.3,86.5,-108.055373,39.024805,4911.7,0.67,1.57,44.7
20200210-22:53:31.620520,-108.182833,39.019584,3053,236.6,168.2,86.9,-108.055377,39.024805,4911.7,0.66,1.57,44.7
20200210-22:53:31.720520,-108.182925,39.019584,3052,237.2,167.3,87.1,-108.055381,39.024805,4911.7,0.67,1.57,44.7
20200210-22:53:31.820540,-108.183018,39.019584,3053,238.3,167.6,87.8,-108.055385,39.024805,4911.7,0.67,1.57,44.7
20200210-22:53:31.920540,-108.18311,39.019584,3052,236.7,167.5,88.1,-108.055388,39.024806,4911.7,0.68,1.57,44.7
20200210-22:53:32.020540,-108.183203,39.019584,3052,236.7,167.8,88.2,-108.055392,39.024806,4911.7,0.68,1.57,44.7
20200210-22:53:32.120540,-108.183203,39.019584,3052,238.2,167.6,88.8,-108.055396,39.024806,4911.7,0.67,1.57,44.7
20200210-22:53:32.220540,-108.183296,39.019584,3052,236.8,167,89.7,-108.0554,39.024806,4911.7,0.67,1.57,44.7
20200210-22:53:32.320540,-108.183388,39.019584,3051,237.9,167.9,89.7,-108.055403,39.024806,4911.7,0.66,1.57,44.7
20200210-22:53:32.420540,-108.183481,39.019584,3051,237.1,168.1,90.1,-108.055407,39.024807,4911.7,0.67,1.57,44.7
20200210-22:53:32.520560,-108.183573,39.019584,3051,238.5,167.5,90.6,-108.055411,39.024807,4911.7,0.67,1.57,44.7
20200210-22:53:32.620560,-108.183666,39.019584,3051,237.2,168,90.8,-108.055415,39.024807,4911.7,0.67,1.57,44.7
20200210-22:53:32.720560,-108.183666,39.019584,3051,236.8,168.2,91.3,-108.055418,39.024807,4911.7,0.67,1.57,44.7
20200210-22:53:32.820560,-108.183758,39.019584,3050,236.5,167.6,91.5,-108.055422,39.024807,4911.7,0.65,1.57,44.7
