UTC,Longitude (deg),Latitude (deg),Elevation (m),TB X (K),TB K (K),TB Ka (K),Antenna Longitude (deg),Antenna Latitude (deg),Antenna Altitude (m),Antenna Yaw (deg),Antenna Pitch (deg),Antenna Look Angle (deg)
20200210-22:52:57.219720,-108.155887,39.017825,3101,236.2,165.5,85.2,-108.054085,39.024734,4913,0.82,1.54,44.9
20200210-22:52:57.319720,-108.155979,39.017825,3101,236.5,165.7,85.2,-108.054089,39.024734,4913,0.82,1.53,44.9
20200210-22:52:57.419720,-108.155979,39.017825,3101,235.6,166.1,85.3,-108.054093,39.024734,4913,0.81,1.54,44.9
20200210-22:52:57.519720,-108.156072,39.017825,3101,236.4,164.9,85,-108.054097,39.024734,4913,0.81,1.53,44.9
20200210-22:52:57.619740,-108.156165,39.017825,3100,235.3,165.4,84.8,-108.0541,39.024734,4912.9,0.8,1.54,44.9
20200210-22:52:57.719740,-108.156257,39.017825,3100,234.5,165.4,84.8,-108.054104,39.024735,4912.9,0.81,1.54,44.9
20200210-22:52:57.819740,-108.15635,39.017825,3100,236.6,165,84.8,-108.054108,39.024735,4912.9,0.8,1.53,44.9
20200210-22:52:57.919740,-108.15635,39.017825,3100,235.2,164.9,84.3,-108.054112,39.024735,4912.9,0.8,1.53,44.9
20200210-22:52:58.019740,-108.156442,39.017825,3100,236.7,164.7,84.6,-108.054115,39.024735,4912.9,0.8,1.54,44.9
20200210-22:52:58.119740,-108.156535,39.017825,3099,235.2,165.6,84.8,-108.054119,39.024735,4912.9,0.8,1.54,44.9
20200210-22:52:58.219740,-108.156628,39.017825,3099,235,164.9,84.8,-108.054123,39.024736,4912.9,0.8,1.54,44.9
20200210-22:52:58.319760,-108.15672,39.017825,3098,234.1,165.2,84.7,-108.054127,39.024736,4912.9,0.8,1.54,44.9
20200210-22:52:58.419760,-108.15672,39.017917,3098,236.1,165.6,84.7,-108.054131,39.024736,4912.9,0.81,1.54,44.9
20200210-22:52:58.519760,-108.156813,39.017917,3098,235.5,164.7,84.6,-108.054134,39.024736,4912.9,0.8,1.53,44.9
20200210-22:52:58.619760,-108.156905,39.017917,3098,235.6,164.9,84.8,-108.054138,39.024736,4912.9,0.81,1.54,44.9
20200210-22:52:58.719760,-108.156998,39.017917,3098,236.1,165.3,84.7,-108.054142,39.024737,4912.9,0.81,1.54,44.9
20200210-22:52:58.819760,-108.157091,39.017917,3098,235.3,164.3,84.6,-108.054146,39.024737,4912.9,0.81,1.54,44.9
20200210-22:52:58.919760,-108.157183,39.017917,3098,235.7,165.8,84.7,-108.054149,39.024737,4912.9,0.82,1.54,44.9
20200210-22:52:59.019760,-108.157183,39.017917,3098,235,165.4,84.8,-108.054153,39.024737,4912.9,0.82,1.54,44.9
20200210-22:52:59.119760,-108.157276,39.017917,3098,235.3,164.8,85,-108.054157,39.024737,4912.9,0.82,1.54,44.9
20200210-22:52:59.219760,-108.157368,39.017917,3098,235.9,165.2,85,-108.054161,39.024738,4912.9,0.81,1.54,44.9
20200210-22:52:59.319780,-108.157461,39.017917,3099,234.2,164.2,84.6,-108.054164,39.024738,4912.9,0.8,1.54,44.9
20200210-22:52:59.419780,-108.157554,39.017917,3099,236.4,165.7,84.9,-108.054168,39.024738,4912.9,0.8,1.54,44.9
20200210-22:52:59.519780,-108.157554,39.017917,3099,236,165.3,85,-108.054172,39.024738,4912.9,0.8,1.54,44.9
20200210-22:52:59.619780,-108.157646,39.01801,3100,235.9,166.2,85,-108.054176,39.024738,4912.9,0.78,1.54,44.9
20200210-22:52:59.719780,-108.157739,39.01801,3100,236.3,166.5,85.1,-108.054179,39.024739,4912.9,0.8,1.54,44.9
20200210-22:52:59.819780,-108.157831,39.01801,3101,235.9,166.5,85.2,-108.054183,39.024739,4912.9,0.79,1.54,44.9
20200210-22:52:59.919780,-108.157831,39.01801,3101,237.1,166.8,85.1,-108.054187,39.024739,4912.9,0.81,1.54,44.9
20200210-22:53:00.019800,-108.157924,39.01801,3101,236.4,165.6,85.3,-108.054191,39.024739,4912.9,0.8,1.54,44.9
20200210-22:53:00.119800,-108.158017,39.01801,3101,238.1,166.3,85.6,-108.054194,39.024739,4912.9,0.8,1.54,44.9
20200210-22:53:00.219800,-108.158109,39.01801,3101,237,166.4,85.5,-108.054198,39.02474,4912.9,0.8,1.54,44.9
20200210-22:53:00.319800,-108.158202,39.01801,3101,236.9,165.9,85.5,-108.054202,39.02474,4912.8,0.78,1.54,44.9
20200210-22:53:00.419800,-108.158202,39.01801,3101,235.8,167.3,85.6,-108.054206,39.02474,4912.8,0.81,1.54,44.9
20200210-22:53:00.519800,-108.158294,39.01801,3101,236.5,167.1,85.8,-108.054209,39.02474,4912.8,0.8,1.54,44.9
20200210-22:53:00.619800,-108.158387,39.01801,3101,239.3,167.2,86.2,-108.054213,39.024741,4912.8,0.81,1.54,44.9
20200210-22:53:00.719800,-108.15848,39.01801,3101,238.3,166.1,86.6,-108.054217,39.024741,4912.8,0.81,1.54,44.9
